"from","to"
"cel00270","CELE_R08E5.2"
"cel00270","CELE_T01C8.5"
"cel00270","CELE_T01D1.4"
"cel00270","CELE_T09B4.8"
"cel00270","CELE_T13A10.11"
"cel00270","CELE_T13G4.4"
"cel00270","CELE_Y44A6D.5"
"cel00270","CELE_Y46G5A.19"
"cel00270","CELE_ZC373.1"
"cel00270","CELE_ZC373.5"
"cel00270","CELE_ZK1127.10"
"cel00280","CELE_B0222.9"
"cel00280","CELE_B0250.5"
"cel00280","CELE_B0272.3"
"cel00280","CELE_B0303.3"
"cel00280","CELE_C02B10.1"
"cel00280","CELE_C05C10.3"
"cel00280","CELE_C29F3.1"
"cel00280","CELE_C55B7.4"
"cel00280","CELE_D2030.5"
"cel00280","CELE_F01F1.6"
"cel00280","CELE_F01G10.2"
"cel00280","CELE_F01G10.3"
"cel00280","CELE_F01G4.2"
"cel00280","CELE_F02A9.10"
"cel00280","CELE_F09F7.4"
"cel00280","CELE_F13D12.4"
"cel00280","CELE_F25B4.6"
"cel00280","CELE_F27D4.5"
"cel00280","CELE_F27D9.5"
"cel00280","CELE_F28A10.6"
"cel00280","CELE_F32B6.2"
"cel00280","CELE_F42G9.5"
"cel00280","CELE_F52E4.1"
"cel00280","CELE_F53A2.7"
"cel00280","CELE_F54C8.1"
"cel00280","CELE_F54D8.3"
"cel00280","CELE_F56B3.5"
"cel00280","CELE_K02A4.1"
"cel00280","CELE_K03A1.5"
"cel00280","CELE_K04D7.3"
"cel00280","CELE_K04F1.15"
"cel00280","CELE_K05F1.3"
"cel00280","CELE_K06A5.6"
"cel00280","CELE_LLC1.3"
"cel00280","CELE_R09B5.6"
"cel00280","CELE_T02G5.7"
"cel00280","CELE_T02G5.8"
"cel00280","CELE_T05G5.6"
"cel00280","CELE_T05H4.13"
"cel00280","CELE_T08B1.3"
"cel00280","CELE_T08B2.7"
"cel00280","CELE_T08G2.3"
"cel00280","CELE_T09B4.8"
"cel00280","CELE_T10E9.9"
"cel00280","CELE_T25G12.5"
"cel00280","CELE_Y105E8A.4"
"cel00280","CELE_Y39E4A.3"
"cel00280","CELE_Y44A6D.5"
"cel00280","CELE_Y69F12A.2"
"cel00280","CELE_Y71G12B.10"
"cel00280","CELE_ZK1058.1"
"cel00280","CELE_ZK669.4"
"cel00290","CELE_K01C8.1"
"cel00290","CELE_K02A4.1"
"cel00290","CELE_Y44A6D.5"
"cel00290","CELE_Y51H7C.9"
"cel00310","CELE_B0272.3"
"cel00310","CELE_C15B12.1"
"cel00310","CELE_C26E6.9"
"cel00310","CELE_C29F3.1"
"cel00310","CELE_C32D5.5"
"cel00310","CELE_D2045.9"
"cel00310","CELE_D2089.5"
"cel00310","CELE_F01F1.6"
"cel00310","CELE_F01G10.2"
"cel00310","CELE_F01G10.3"
"cel00310","CELE_F42G9.5"
"cel00310","CELE_F52H3.1"
"cel00310","CELE_F54C8.1"
"cel00310","CELE_F54D5.7"
"cel00310","CELE_F54D8.3"
"cel00310","CELE_F54F7.7"
"cel00310","CELE_F55G7.2"
"cel00310","CELE_K04F1.15"
"cel00310","CELE_LLC1.3"
"cel00310","CELE_M05D6.7"
"cel00310","CELE_R02D3.1"
"cel00310","CELE_R05D3.11"
"cel00310","CELE_R06A4.7"
"cel00310","CELE_R09B5.6"
"cel00310","CELE_T02G5.7"
"cel00310","CELE_T02G5.8"
"cel00310","CELE_T05G5.6"
"cel00310","CELE_T05H4.13"
"cel00310","CELE_T08B1.3"
"cel00310","CELE_T08B2.7"
"cel00310","CELE_T12D8.1"
"cel00310","CELE_T12F5.4"
"cel00310","CELE_T26A5.7"
"cel00310","CELE_W02F12.5"
"cel00310","CELE_Y105E8A.4"
"cel00310","CELE_Y2H9A.1"
"cel00310","CELE_Y39G10AR.18"
