source	target	edge_type	string_combined_score
nhr-77	daf-16	regulatory	NA
cebp-1	daf-16	regulatory	NA
pqm-1	daf-16	regulatory	NA
fos-1	daf-16	regulatory	NA
ceh-60	pqm-1	regulatory	NA
pha-4	pqm-1	regulatory	NA
fos-1	pqm-1	regulatory	NA
daf-16	pqm-1	regulatory	NA
ceh-60	zip-2	regulatory	NA
blmp-1	zip-2	regulatory	NA
elt-2	zip-2	regulatory	NA
pha-4	zip-2	regulatory	NA
skn-1	zip-2	regulatory	NA
nhr-28	zip-2	regulatory	NA
nhr-77	zip-2	regulatory	NA
cebp-1	zip-2	regulatory	NA
pqm-1	zip-2	regulatory	NA
fos-1	zip-2	regulatory	NA
daf-16	zip-2	regulatory	NA
hif-1	zip-2	regulatory	NA
hif-1	skn-1	regulatory	NA
ceh-60	skn-1	regulatory	NA
blmp-1	skn-1	regulatory	NA
pha-4	skn-1	regulatory	NA
nhr-28	skn-1	regulatory	NA
nhr-77	skn-1	regulatory	NA
cebp-1	skn-1	regulatory	NA
pqm-1	skn-1	regulatory	NA
fos-1	skn-1	regulatory	NA
daf-16	skn-1	regulatory	NA
ceh-60	akt-1	regulatory	NA
pha-4	akt-1	regulatory	NA
pqm-1	akt-1	regulatory	NA
daf-16	akt-1	regulatory	NA
ceh-60	pha-4	regulatory	NA
elt-2	pha-4	regulatory	NA
skn-1	pha-4	regulatory	NA
nhr-28	pha-4	regulatory	NA
nhr-77	pha-4	regulatory	NA
pqm-1	pha-4	regulatory	NA
fos-1	pha-4	regulatory	NA
daf-16	pha-4	regulatory	NA
nhr-77	hif-1	regulatory	NA
daf-16	hif-1	regulatory	NA
ceh-60	hif-1	regulatory	NA
skn-1	hif-1	regulatory	NA
nhr-28	hif-1	regulatory	NA
pqm-1	cebp-1	regulatory	NA
fos-1	cebp-1	regulatory	NA
daf-16	cebp-1	regulatory	NA
zip-2	cebp-1	regulatory	NA
ceh-60	cebp-1	regulatory	NA
blmp-1	cebp-1	regulatory	NA
elt-2	cebp-1	regulatory	NA
pha-4	cebp-1	regulatory	NA
skn-1	cebp-1	regulatory	NA
nhr-28	cebp-1	regulatory	NA
nhr-77	cebp-1	regulatory	NA
elt-2	ceh-60	regulatory	NA
pha-4	ceh-60	regulatory	NA
nhr-28	ceh-60	regulatory	NA
nhr-77	ceh-60	regulatory	NA
cebp-1	ceh-60	regulatory	NA
pqm-1	ceh-60	regulatory	NA
fos-1	ceh-60	regulatory	NA
pha-4	elt-2	regulatory	NA
nhr-28	elt-2	regulatory	NA
nhr-77	elt-2	regulatory	NA
pqm-1	elt-2	regulatory	NA
daf-16	elt-2	regulatory	NA
ceh-60	elt-2	regulatory	NA
nhr-77	akt-2	regulatory	NA
pqm-1	akt-2	regulatory	NA
fos-1	akt-2	regulatory	NA
daf-16	akt-2	regulatory	NA
ceh-60	akt-2	regulatory	NA
blmp-1	akt-2	regulatory	NA
elt-2	akt-2	regulatory	NA
pha-4	akt-2	regulatory	NA
skn-1	akt-2	regulatory	NA
nhr-28	akt-2	regulatory	NA
ceh-60	nhr-28	regulatory	NA
pha-4	nhr-28	regulatory	NA
nhr-77	nhr-28	regulatory	NA
pqm-1	nhr-28	regulatory	NA
daf-16	nhr-28	regulatory	NA
ceh-60	aak-2	regulatory	NA
blmp-1	aak-2	regulatory	NA
pha-4	aak-2	regulatory	NA
nhr-77	aak-2	regulatory	NA
cebp-1	aak-2	regulatory	NA
pqm-1	aak-2	regulatory	NA
fos-1	aak-2	regulatory	NA
daf-16	aak-2	regulatory	NA
