"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y55F3AM.9",1373.3893062105,0.0412086166299909,0.173685543015495,0.751279642960273,0.895159254625486,"Y55F3AM.9"
"Y55F3AM.3",1276.26462781596,-0.0722563319512576,0.235922682263664,0.595378257351129,0.811080742447297,"Y55F3AM.3"
"Y55F3AM.10",716.419973418079,0.24743659913916,0.25353422386056,0.136736228922599,0.430022375990659,"Y55F3AM.10"
"Y55F3AM.2",4.53053625133495,0.00927295374748889,0.280558839059225,0.489454574297695,0.743499129012651,"Y55F3AM.2"
"Y55F3AM.21",33.3144453102304,0.106720191462597,0.293002789142432,0.227436997460215,0.535664270110684,"Y55F3AM.21"
"Y55F3AM.12",1033.57431539832,0.450788397714646,0.173373786208218,0.00219703676102156,0.0608168892296404,"Y55F3AM.12"
"Y55F3AM.13",3866.26761896224,0.199653934738544,0.244569571797646,0.194020200140276,0.503472837554485,"Y55F3AM.13"
"Y55F3AM.1",891.791252304299,0.339539895302055,0.298784843339386,0.0609532969012513,0.311347780405462,"Y55F3AM.1"
"Y55F3AM.14",352.367102914586,0.17983835249929,0.314354659523716,0.163506886457403,0.467037769476328,"Y55F3AM.14"
"Y55F3AR.3",4791.50525808449,0.0616710365773834,0.185170927594335,0.658220480416784,0.848462166097998,"Y55F3AR.3"
"Y55F3AR.2",946.840444779122,0.00530334871142586,0.182542517728631,0.967264068196841,0.987514362723578,"Y55F3AR.2"
"C44B12.9",12.9828217268856,-0.0966372426091538,0.301789359366742,0.0386329273573433,0.262049335537789,"C44B12.9"
"C44B12.3",23.4624401648257,-0.166131042821983,0.357030075449049,0.000679259779128217,0.0277559599402392,"C44B12.3"
"C44B12.2",28702.1344141447,0.0334751944466732,0.157608152093286,0.795745622147764,0.91706823879141,"C44B12.2"
"C44B12.8",2.80774033859477,0.00321545184223223,0.280411427992279,0.424919081963048,NA,"C44B12.8"
"C44B12.4",3.8557766931112,-0.0205182584197216,0.28147849528201,0.144974514985171,NA,"C44B12.4"
