"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y92H12BR.6",322.964757352813,0.0768658506713039,0.186740585836826,0.442590810292628,0.800016595741699,"Y92H12BR.6"
"Y92H12BR.2",469.600259762725,-0.126406073601793,0.189515423388516,0.228994719702442,0.655612342592056,"Y92H12BR.2"
"Y92H12BR.3",3239.60601786124,0.0103632902336716,0.14081352668018,0.91470857014972,0.980360977421792,"Y92H12BR.3"
"Y92H12BR.8",1157.46184080225,0.143246439336995,0.177967902022446,0.178081594241305,0.598633187108425,"Y92H12BR.8"
"F37F2.2",874.959223920403,0.0617349621134795,0.193471296333408,0.527438865115456,0.847214433910203,"F37F2.2"
"F47G6.4",396.877942312616,-0.107392540728034,0.235201954772467,0.261464218631612,0.680195281638179,"F47G6.4"
"F37F2.3",141.991866078977,0.0900396950559687,0.330875627842016,0.0806394136448299,0.443727872988043,"F37F2.3"
"F47G6.3",5.19906523756914,-0.0192261182115917,0.303443182027087,0.441407221798723,0.79962204408897,"F47G6.3"
"F47G6.2",1410.83660437751,-0.0436782464248462,0.140511213944046,0.652751149161128,0.904641669441669,"F47G6.2"
"F47G6.1",599.687203367159,-0.271534658456199,0.151428611345986,0.0119412543218226,0.177388809784249,"F47G6.1"
"Y92H12A.5",1518.84163575035,-0.174341139277995,0.181631988807851,0.110797804806277,0.500778627395142,"Y92H12A.5"
"Y92H12A.4",610.875904092016,-0.161329283827008,0.216403771115557,0.13767687355481,0.546864086820324,"Y92H12A.4"
"Y92H12A.2",2299.04464879799,-0.0382063593487128,0.169625730286974,0.699478391857083,0.921109378712235,"Y92H12A.2"
"Y92H12A.1",1572.73747327666,-0.1404133227041,0.238193713622964,0.170288673580518,0.5914846464328,"Y92H12A.1"
"Y73E7A.3",312.251508067047,0.212890644102938,0.222153403565717,0.0667284385077381,0.414942615889563,"Y73E7A.3"
