"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"C07F11.1",-0.17422241446557,0.702321082649661,-0.142497194652798,0.656999872247324,-0.281515891723363,0.42031740563766,-0.225420508000335,0.389739291322153,-0.018200144673157,0.972549019616913,"NS"
"W04C9.4",-0.188735001367512,0.644783673222987,-0.0219504948841297,0.95289165362573,0.0959551600532256,0.848460233420365,0.152188989701086,0.57429862660464,0.0825646967891625,0.792326465157659,"NS"
"W04C9.3",-0.0963698276869324,0.529596569447635,-0.249843003215677,0.482417457285894,0.0267013299648012,0.645645512758958,0.0389266369302369,0.664039245838487,7.96333371037941e-05,NA,"NS"
"W04C9.6",-0.177993724281065,0.444499635313628,-0.100261491555601,0.814346941990477,-0.0181325652507303,0.783555319160291,-0.00903828781835283,0.958390569650848,0.010169132368133,0.771532350636161,"NS"
"W04C9.2",-0.538746814339083,0.154595968237171,0.0124776228110356,0.975026075687863,-0.266173137204631,0.444046847712083,0.0250083965095463,0.949319085737266,0.302581241378187,0.349172108944943,"NS"
"W04C9.1",-0.636734469370061,0.0096408510002559,-0.194600708516319,0.418794542501005,-0.687108821257381,0.0102500333593153,-0.198849479473851,0.42447342916927,0.254749433243868,0.397955895363445,"NS"
"Y65B4BL.3",0.187043769229757,0.714976502296308,-0.0543205991992737,0.887150257756711,-0.0545515905303914,0.920448277566031,-0.155276332935873,0.564627628407876,-0.112938290593604,0.69235074974627,"NS"
"Y65B4BL.4",0.273214026640368,0.651164916637773,-0.379142093859218,0.314439885126167,0.100354945072569,0.735375335823957,-0.111862376808759,0.654401936401646,-0.261904983505767,0.286221134795497,"NS"
"Y65B4BL.2",-0.186813106475636,0.647487132208438,-0.00409551632702268,0.992915550893158,-0.176780763126534,0.63598212971088,-0.0540967973220265,0.875870359833233,0.0950687841614514,0.756989295991648,"NS"
"Y65B4BL.7",-0.171850985049405,0.719168331836295,0.202727577737016,0.506064534638494,-0.287163738386444,0.41797663416447,-0.00747802276263747,0.986200756333115,0.242803963878936,0.425742824760937,"NS"
"Y65B4BL.6",-0.328883514846256,0.475089890806729,0.0945385020527744,0.789995031966317,0.110480218081623,0.794497935834792,0.366819154613432,0.16053205445499,0.223933395154443,0.448162631295652,"NS"
