"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"C31C9.2",2.7554155536192,7.45910709371954e-62,"N2: Treated vs Untreated","cel01230","Biosynthesis of amino acids"
"F26H11.2",1.55475484937452,1.10317714511002e-26,"N2: Treated vs Untreated","cel03082","ATP-dependent chromatin remodeling"
"K10H10.1",1.52289839015938,6.466992879534e-11,"N2: Treated vs Untreated","cel04082","Neuroactive ligand signaling"
"Y53F4B.2",-1.01963983678017,0.00268122092846365,"N2: Treated vs Untreated","cel00062","Fatty acid elongation"
"Y53F4B.2",-1.01963983678017,0.00268122092846365,"N2: Treated vs Untreated","cel01040","Biosynthesis of unsaturated fatty acids"
"Y53F4B.2",-1.01963983678017,0.00268122092846365,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y53F4B.2",-1.01963983678017,0.00268122092846365,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y53F4B.31",-3.41228099261378,2.0254640138584e-48,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"W05G11.6",1.84873084264596,7.03495156369753e-14,"N2: Treated vs Untreated","cel00010","Glycolysis / Gluconeogenesis"
"W05G11.6",1.84873084264596,7.03495156369753e-14,"N2: Treated vs Untreated","cel00020","Citrate cycle (TCA cycle)"
"W05G11.6",1.84873084264596,7.03495156369753e-14,"N2: Treated vs Untreated","cel00620","Pyruvate metabolism"
"W05G11.6",1.84873084264596,7.03495156369753e-14,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"W05G11.6",1.84873084264596,7.03495156369753e-14,"N2: Treated vs Untreated","cel04068","FoxO signaling pathway"
"W06E11.4",1.18048218261307,1.25249300189362e-09,"N2: Treated vs Untreated","cel03008","Ribosome biogenesis in eukaryotes"
"Y71D11A.3",-1.68320578046092,0.00489179001502793,"N2: Treated vs Untreated","cel00380","Tryptophan metabolism"
"Y71D11A.3",-1.68320578046092,0.00489179001502793,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C46F11.2",2.96952991741292,1.16951904614683e-63,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C46F11.2",2.96952991741292,1.16951904614683e-63,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F13B10.1",2.2491477869865,8.77422081808727e-09,"N2: Treated vs Untreated","cel00760","Nicotinate and nicotinamide metabolism"
"F13B10.1",2.2491477869865,8.77422081808727e-09,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"ZK1058.6",4.32288431352507,2.05871732231628e-89,"N2: Treated vs Untreated","cel00380","Tryptophan metabolism"
"ZK1058.6",4.32288431352507,2.05871732231628e-89,"N2: Treated vs Untreated","cel00910","Nitrogen metabolism"
"ZK1058.6",4.32288431352507,2.05871732231628e-89,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R74.3",1.17107033679196,2.97880033593216e-24,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"R74.6",1.61966549558526,6.59057291979585e-22,"N2: Treated vs Untreated","cel03015","mRNA surveillance pathway"
"F35G12.1",1.35383861781847,3.63571981203734e-09,"N2: Treated vs Untreated","cel00410","beta-Alanine metabolism"
"F35G12.1",1.35383861781847,3.63571981203734e-09,"N2: Treated vs Untreated","cel00640","Propanoate metabolism"
"F35G12.1",1.35383861781847,3.63571981203734e-09,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F35G12.1",1.35383861781847,3.63571981203734e-09,"N2: Treated vs Untreated","cel04146","Peroxisome"
"F10F2.2",-1.78047569796234,7.61672974770295e-38,"N2: Treated vs Untreated","cel00230","Purine metabolism"
"F10F2.2",-1.78047569796234,7.61672974770295e-38,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"T10F2.1",1.43947860921702,1.44710350708208e-19,"N2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"F01F1.4",1.20844428354244,1.37672164571707e-06,"N2: Treated vs Untreated","cel04144","Endocytosis"
"F25B5.4",2.74432124639677,4.69784676622303e-32,"N2: Treated vs Untreated","cel04120","Ubiquitin mediated proteolysis"
"F25B5.4",2.74432124639677,4.69784676622303e-32,"N2: Treated vs Untreated","cel04137","Mitophagy - animal"
"F25B5.4",2.74432124639677,4.69784676622303e-32,"N2: Treated vs Untreated","cel04140","Autophagy - animal"
"C16A3.10",-2.07009352886435,1.38294523932305e-42,"N2: Treated vs Untreated","cel00330","Arginine and proline metabolism"
"C16A3.10",-2.07009352886435,1.38294523932305e-42,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel00260","Glycine, serine and threonine metabolism"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel00630","Glyoxylate and dicarboxylate metabolism"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel00670","One carbon pool by folate"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel01230","Biosynthesis of amino acids"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"C05D11.11",-1.38037908685875,7.56119135248654e-29,"N2: Treated vs Untreated","cel04981","Folate transport and metabolism"
"F57B9.1",1.34412600801186,2.54096067133969e-12,"N2: Treated vs Untreated","cel00750","Vitamin B6 metabolism"
"F57B9.1",1.34412600801186,2.54096067133969e-12,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F57B9.1",1.34412600801186,2.54096067133969e-12,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"R01H2.5",-1.00118231540389,2.36828063019477e-05,"N2: Treated vs Untreated","cel00051","Fructose and mannose metabolism"
"R01H2.5",-1.00118231540389,2.36828063019477e-05,"N2: Treated vs Untreated","cel00541","Biosynthesis of various nucleotide sugars"
"R01H2.5",-1.00118231540389,2.36828063019477e-05,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R01H2.5",-1.00118231540389,2.36828063019477e-05,"N2: Treated vs Untreated","cel01250","Biosynthesis of nucleotide sugars"
"K04G7.3",1.66261167435144,1.51158114756853e-08,"N2: Treated vs Untreated","cel00514","Other types of O-glycan biosynthesis"
"K04G7.3",1.66261167435144,1.51158114756853e-08,"N2: Treated vs Untreated","cel03083","Polycomb repressive complex"
"T20H4.3",1.17181485535651,9.80744624718404e-12,"N2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"B0361.5",1.08749373382238,2.99928192717307e-08,"N2: Treated vs Untreated","cel00564","Glycerophospholipid metabolism"
"B0361.5",1.08749373382238,2.99928192717307e-08,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C29E4.7",-1.96205537301016,9.14658908982733e-11,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"F44B9.3",1.45120691952699,2.24720622476783e-07,"N2: Treated vs Untreated","cel03250","Viral life cycle - HIV-1"
"K06H7.4",3.67550865557836,3.02638924585399e-21,"N2: Treated vs Untreated","cel04144","Endocytosis"
"C30C11.4",2.79802845403756,1.21898741278074e-15,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"C30C11.2",1.13704919613145,1.16802519133428e-20,"N2: Treated vs Untreated","cel03050","Proteasome"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C02D5.4",2.61159580664462,1.23644524539171e-22,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"ZK370.4",1.60013667289516,1.50442719311191e-09,"N2: Treated vs Untreated","cel00564","Glycerophospholipid metabolism"
"ZK370.2",-1.08829840691824,2.30897328369919e-08,"N2: Treated vs Untreated","cel04081","Hormone signaling"
"ZK370.2",-1.08829840691824,2.30897328369919e-08,"N2: Treated vs Untreated","cel04350","TGF-beta signaling pathway"
"K02D10.5",1.06648948325155,2.07407262502937e-15,"N2: Treated vs Untreated","cel04130","SNARE interactions in vesicular transport"
"K02D10.5",1.06648948325155,2.07407262502937e-15,"N2: Treated vs Untreated","cel04140","Autophagy - animal"
