"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe"
"Y65B4A.8",-0.640476864330332,-0.0624151283153442,-0.0556623360828779,0.52239939993211,0.578061736014988,0.0643218322912034,0.894369182413324,0.999661050265277,0.237472033453283,0.584491068348556
"Y18H1A.14",0.0738608948199136,-0.731479874585186,0.752565254635282,-0.0527755147698177,-0.805340769405099,0.984710641126792,0.788130519934316,0.999661050265277,NA,0.927554052148966
"Y18H1A.11",0.832245486555215,0.499755913980844,0.778146534496736,0.445656961922365,-0.33248957257437,0.0352058986624631,0.234585519627571,0.366675652051763,0.406138623644877,0.813455592686105
"Y18H1A.10",-1.42941266272124,1.05871170250432,-0.523373545260085,1.96475081996548,2.48812436522556,0.653337061071982,0.704870385169548,0.999661050265277,NA,0.750782542416692
"Y18H1A.3",-0.505143720907727,0.104622438404708,-0.387328322498786,0.222437836813648,0.609766159312434,0.347292329724186,0.862775882300895,0.999661050265277,0.747588542810888,0.676629572677224
"Y18H1A.15",0.180806176351986,0.939841708922379,-0.411527342106843,0.347508190463549,0.759035532570393,0.93538680511099,0.530857959931152,0.999661050265277,NA,0.876960577124327
"Y18H1A.18",0.894839090669438,0.139939084925223,0.944064586691773,0.189164580947558,-0.754900005744215,0.469371923265785,0.920744510718813,0.999661050265277,NA,0.83406335776266
"Y18H1A.13",1.38556715815471,1.75998595589767,-0.019955103612722,0.35446369413024,0.374418797742962,0.00126848493784774,2.5416965719778e-05,0.999661050265277,0.590440820219297,0.824394862165106
"Y18H1A.12",0.933144642737506,1.38157122700549,0.103480097320391,0.551906681588375,0.448426584267984,0.232241699081433,0.0440071975502905,0.999661050265277,0.570500231766034,0.863197592971039
"Y18H1A.8",-0.796859975439239,-0.198714072541603,0.48263820848826,1.0807841113859,0.598145902897636,0.671816092738184,0.916036565546835,0.999661050265277,NA,0.909662450445886
"T06A4.2",-5.36972908560708,-1.92319010630398,0.758294626570413,4.20483360587351,3.4465389793031,0.0945261857357792,0.56522934132371,0.999661050265277,NA,NA
"T06A4.3",-0.146490080888122,0.248940306491625,0.267874583291973,0.663304970671721,0.395430387379748,0.772757495912052,0.518540700844206,0.999661050265277,0.115236674154776,0.724737909662657
"ZC123.1",-0.512737057553771,-0.00396857252553805,0.104674307343586,0.613442792371818,0.508768485028232,0.298724066564568,0.995670833052664,0.999661050265277,0.269999704399136,0.721492357024356
"ZC123.4",-0.521001956652509,-0.253838272030822,-0.185217702714228,0.0819459819074593,0.267163684621687,0.0610809506353976,0.408097520786591,0.999661050265277,0.857203161516627,0.772538703832089
"Y95B8A.8",-0.67465803776455,-0.559487873706675,-0.0332791247522957,0.0818910393055791,0.115170164057875,0.00276908784635814,0.0172176577147764,0.999661050265277,0.835636398191006,0.903698815946769
"Y95B8A.10",-0.640177619430263,-0.4097148286021,-0.120284930302989,0.110177860525174,0.230462790828163,0.0825251266125925,0.285462402653819,0.999661050265277,0.851311468131657,0.862655887988143
"Y95B8A.6",-0.80146700784879,-0.294865114734834,-0.171475681930323,0.335126211183634,0.506601893113956,0.00664087702716585,0.396415725455045,0.999661050265277,0.432060181330886,0.604200241188799
"Y95B8A.5",-0.355703293333926,-0.815022363313438,0.0156573280778999,-0.443661741901612,-0.459319069979512,0.264895478103616,0.00223229799564174,0.999661050265277,0.231321635869471,0.600753620174813
"Y95B8A.4",-0.58245623687021,-0.555531136146631,-0.96781457941654,-0.940889478692961,0.0269251007235792,0.841494658656063,0.826325767916695,0.999661050265277,NA,0.998615513406581
